0,0,0
"
Granos de oro: Pensamientos Seleccionados en las Obras de José Martí
","
Martí, José, 1853-1895","Oct 1, 2013"
"
Diario de la expedicion reduccional del ano 1780, mandada practicar por orden del Virey de Buenos Aires
","
Arias, Francisco Gavino de","May 25, 2009"
"
Sainetes
","
Arniches y Barrera, Carlos, 1866-1943","Aug 23, 2020"
"
La señorita de Trevelez: Farsa cómica en tres actos
","
Arniches y Barrera, Carlos, 1866-1943","Jan 12, 2017"
"
Los caciques
","
Arniches y Barrera, Carlos, 1866-1943","Mar 16, 2022"
"
Extracto de la gramatica mutsun
","
Arroyo de la Cuesta, Felipe, -1842","Feb 1, 2004"
"
Orlando Furioso, Tomo I
","
Ariosto, Lodovico, 1474-1533","Jul 6, 2014"
"
Orlando Furioso, Tomo II
","
Ariosto, Lodovico, 1474-1533","May 28, 2015"
"
Extracto de la gramatica mutsun
","
Arroyo de la Cuesta, Felipe, -1842","Feb 1, 2004"
"
Las fiestas de San JuanReseña histórica de lo que han sido y de lo que son relación verídica de las que se celebran en este año de 1868
","
Asenjo y Arteaga, Federico, 1831-1893","Sep 1, 2019"
"
Metamorfóseos o Transformaciones (1 de 4)
","
Ovid, 43 BCE-18?","Sep 18, 2021"
"
Metamorfóseos o Transformaciones (3 de 4)
","
Ovid, 43 BCE-18?","Sep 18, 2021"
"
Metamorfóseos o Transformaciones (2 de 4)
","
Ovid, 43 BCE-18?","Sep 18, 2021"
"
Metamorfóseos o Transformaciones (4 de 4)
","
Ovid, 43 BCE-18?","Sep 18, 2021"
"
La voz de España contra todos sus enemigos
","
Avilés, José María","Aug 5, 2012"
"
La Biblia en España, Tomo I (de 3)O viajes, aventuras y prisiones de un inglés en su intento de difundir las Escrituras por la Península
","
Borrow, George, 1803-1881","Jan 24, 2016"
"
La Biblia en España, Tomo II (de 3)O viajes, aventuras y prisiones de un inglés en su intento de difundir las Escrituras por la Península
","
Borrow, George, 1803-1881","Jan 24, 2016"
"
La Biblia en España, Tomo III (de 3)O viajes, aventuras y prisiones de un inglés en su intento de difundir las Escrituras por la Península
","
Borrow, George, 1803-1881","Apr 8, 2016"
"
Diario de un reconocimiento de la guardia y fortines
","
Azara, Félix de, 1742-1821","Oct 8, 2006"
"
Correspondencia Oficial e Inedita sobre la Demarcacion de Limites entre el Paraguay y el Brasil
","
Azara, Félix de, 1742-1821","May 21, 2009"
"
Los valores literarios
","
Azorín, 1873-1967","Feb 23, 2022"
"
Filosofía Fundamental, Tomo I
","
Balmes, Jaime Luciano, 1810-1848","Oct 5, 2004"
"
Filosofía Fundamental, Tomo II
","
Balmes, Jaime Luciano, 1810-1848","Jun 25, 2005"
"
FloranteVersión castellana del poema tagalo con un ensayo crítico
","
Balagtas, Francisco, 1788-1862","Apr 3, 2005"
"
FloranteVersión castellana del poema tagalo con un ensayo crítico
","
Balagtas, Francisco, 1788-1862","Apr 3, 2005"
"
El Criterio
","
Balmes, Jaime Luciano, 1810-1848","May 22, 2009"
