0,0,0
"
La voz de la conseja, t.2Selección de las mejores novelas breves y cuentos de los más esclarecidos literatos
","
Álvarez Quintero, Joaquín, 1873-1944","Oct 18, 2012"
"
Historia de los Judíos en Españadesde los tiempos de su establecimiento hasta principios del present siglo
","
Castro, Adolfo de, 1823-1898","Oct 27, 2010"
"
Recuerdos de Italia (parte 2 de 2)
","
Castelar, Emilio, 1832-1899","Dec 15, 2016"
"
Catálogo Monumental de España; Provincia de ÁlavaInventario general de los monumentos históricos y artísticos de al nación.
","
Castro, Cristóbal de, 1880?-1953","Nov 10, 2012"
"
El criticón (tomo 1 de 2)
","
Gracián y Morales, Baltasar, 1601-1658","Jul 18, 2020"
"
Clásicos Castellanos: Libro de Buen Amor
","
Ruiz, Juan, 1283?-1350?","Aug 30, 2005"
"
El criticón (tomo 2 de 2)
","
Gracián y Morales, Baltasar, 1601-1658","Oct 7, 2020"
"
Don Quijote
","
Cervantes Saavedra, Miguel de, 1547-1616","Dec 1, 1999"
"
Los Sueños, Volume I
","
Quevedo, Francisco de, 1580-1645","Aug 5, 2021"
"
Los entremeses
","
Cervantes Saavedra, Miguel de, 1547-1616","Sep 23, 2018"
"
Los Sueños, Volume II
","
Quevedo, Francisco de, 1580-1645","Sep 10, 2021"
"
Novelas ejemplares
","
Cervantes Saavedra, Miguel de, 1547-1616","Jan 21, 2020"
"
Novelas y teatro
","
Cervantes Saavedra, Miguel de, 1547-1616","Feb 20, 2005"
"
Segunda parte de la crónica del Perú, que trata del señorio de los Incas Yupanquis y de sus grandes hechos y gobernacion
","
Cieza de León, Pedro de, 1518-1554","Apr 30, 2008"
"
Viage al ParnasoLa Numancia (Tragedia) y El Trato de Argel (Comedia)
","
Cervantes Saavedra, Miguel de, 1547-1616","Jun 22, 2005"
"
La vida en los campos: novelas cortas
","
Verga, Giovanni, 1840-1922","Oct 24, 2012"
"
Páginas sevillanasSucesos Históricos, Personajes Célebres, Monumentos Notables, Tradiciones Populares, Cuentos Viejos, Leyendas y Curiosidades.
","
Chaves Rey, Manuel, 1870-1914","Jun 23, 2012"
"
Cosas nuevas y viejas (apuntes sevillanos)
","
Chaves Rey, Manuel, 1870-1914","Apr 19, 2011"
"
La Ilíada
","
Homer, 750? BCE-650? BCE","Aug 7, 2018"
"
Tres Comedias Modernasen un acto y en prosa
","
Barranco, Mariano, 1850-","Jun 3, 2008"
"
La niña robada
","
Conscience, Hendrik, 1812-1883","Oct 12, 2007"
"
Pequeñeces
","
Coloma, Luis, 1851-1915","Dec 3, 2006"
"
Más vale maña que fuerzaProverbio en un acto; with notes, exercises, and vocabulary
","
Tamayo y Baus, Manuel, 1829-1898","Dec 2, 2004"
"
Más vale maña que fuerzaProverbio en un acto; with notes, exercises, and vocabulary
","
Tamayo y Baus, Manuel, 1829-1898","Dec 2, 2004"
"
Ratón Pérez: cuento infantil
","
Coloma, Luis, 1851-1915","Jun 29, 2011"
"
Guerra de razas (Negros contra Blancos en Cuba)
","
Capmany, José M.","Oct 13, 2011"
"
Estudio descriptivo de los monumentos árabes de Granada, Sevilla y Córdobaó sea La Alhambra, el Alcázar y la Gran Mezquita de Occidente
","
Contreras, Rafael, 1826-1890","Aug 27, 2017"
"
La cuerda del ahorcadoÚltimas aventuras de Rocambole: I El Loco de Bedlam
","
Ponson du Terrail, 1829-1871","Jan 3, 2009"
"
Sir Francis Drake: His Voyage, 1595Together with the Spanish account of Drake's attack on Puerto Rico
","
Maynarde, Thomas, active 1595","Aug 27, 2020"
"
Sir Francis Drake: His Voyage, 1595Together with the Spanish account of Drake's attack on Puerto Rico
","
Maynarde, Thomas, active 1595","Aug 27, 2020"
"
Metamorfóseos o Transformaciones (1 de 4)
","
Ovid, 43 BCE-18?","Sep 18, 2021"
"
Los exploradores españoles del siglo XVI
","
Lummis, Charles Fletcher, 1859-1928","Apr 2, 2020"
"
Reconocimiento del fuerte del Carmen del Rio Negro
","
Cramer, Ambrosio","Aug 23, 2006"
"
Metamorfóseos o Transformaciones (2 de 4)
","
Ovid, 43 BCE-18?","Sep 18, 2021"
"
Metamorfóseos o Transformaciones (3 de 4)
","
Ovid, 43 BCE-18?","Sep 18, 2021"
"
Libro segundo de lectura
","
Cyr, Ellen M., 1860-1920","Feb 1, 2004"
"
La Divina Comedia
","
Dante Alighieri, 1265-1321","Jun 10, 2018"
"
Metamorfóseos o Transformaciones (4 de 4)
","
Ovid, 43 BCE-18?","Sep 18, 2021"
"
Libro segundo de lectura
","
Cyr, Ellen M., 1860-1920","Feb 1, 2004"
"
Tres Comedias Modernasen un acto y en prosa
","
Barranco, Mariano, 1850-","Jun 3, 2008"
"
AutobiografíaObras Completas Vol. XV
","
Darío, Rubén, 1867-1916","May 11, 2016"
"
Azul...Obras Completas Vol. IV
","
Darío, Rubén, 1867-1916","Aug 25, 2016"
"
Canto a la Argentina, Oda a Mitre y otros poemasObras Completas Vol. IX
","
Darío, Rubén, 1867-1916","Mar 15, 2016"
"
Cabezas: Pensadores y Artistas, PolíticosObras Completas Vol. XXII
","
Darío, Rubén, 1867-1916","Nov 25, 2017"
"
Cuentos y crónicasObras Completas Vol. XIV
","
Darío, Rubén, 1867-1916","Apr 2, 2016"
"
España ContemporáneaObras Completas Vol. XIX
","
Darío, Rubén, 1867-1916","Jun 19, 2017"
"
Cantos de Vida y Esperanza, Los Cisnes y otros poemas.Obras Completas Vol. VII
","
Darío, Rubén, 1867-1916","Oct 30, 2015"
"
El Canto ErranteObras Completas Vol. XVI
","
Darío, Rubén, 1867-1916","Apr 9, 2016"
"
La Caravana PasaObras Completas Vol. I
","
Darío, Rubén, 1867-1916","Nov 29, 2018"
"
LetrasObras Completas Vol. VIII
","
Darío, Rubén, 1867-1916","Jan 24, 2016"
"
Lira PóstumaObras Completas Vol. XXI
","
Darío, Rubén, 1867-1916","Jan 2, 2017"
"
Los RarosObras Completas Vol. VI
","
Darío, Rubén, 1867-1916","Nov 1, 2015"
"
OpinionesObras Completas Vol. X
","
Darío, Rubén, 1867-1916","Mar 30, 2016"
"
ParisianaObras Completas, Vol. V
","
Darío, Rubén, 1867-1916","Jan 9, 2017"
"
PeregrinacionesObras Completas Vol. XII
","
Darío, Rubén, 1867-1916","Apr 26, 2016"
"
Poema del Otoño y otros poemasObras Completas Vol. XI
","
Darío, Rubén, 1867-1916","Mar 26, 2016"
"
Poemas
","
Poe, Edgar Allan, 1809-1849","Jun 16, 2008"
"
Prosa DispersaObras Completas Vol. XX
","
Darío, Rubén, 1867-1916","Sep 24, 2017"
"
Tierras SolaresObras Completas Vol. III
","
Darío, Rubén, 1867-1916","Aug 20, 2016"
"
Prosa Política (Las Repúblicas Americanas)Obras Completas Vol. XIII
","
Darío, Rubén, 1867-1916","Oct 30, 2016"
"
Prosas ProfanasObras Completas Vol. II
","
Darío, Rubén, 1867-1916","Dec 12, 2014"
"
Todo al VueloObras Completas Vol. XVIII
","
Darío, Rubén, 1867-1916","Feb 5, 2017"
"
El Viaje a Nicaragua é Historia de mis librosObras Completas, Vol. XVII
","
Darío, Rubén, 1867-1916","Apr 1, 2017"
"
Cartas de mi molino
","
Daudet, Alphonse, 1840-1897","Aug 16, 2009"
"
La voz de la conseja, t.1Selección de las mejores novelas breves y cuentos de los más esclarecidos literatos
","
Baroja, Pío, 1872-1956","Sep 22, 2012"
"
Salta
","
Dávalos, Juan Carlos, 1887-1959","Jul 28, 2012"
"
Heath's Modern Language Series: José
","
Palacio Valdés, Armando, 1853-1938","Jan 7, 2009"
"
Retrato de la Lozana AndaluzaEn lengua española muy clarísima, compuesto en Roma.
","
Delicado, Francisco, active 16th century","Oct 23, 2015"
"
Angelina(novela mexicana)
","
Delgado, Rafael, 1853-1914","Jun 17, 2005"
"
FloranteVersión castellana del poema tagalo con un ensayo crítico
","
Balagtas, Francisco, 1788-1862","Apr 3, 2005"
"
Espasmo
","
De Roberto, Federico, 1861-1927","Oct 3, 2008"
"
FloranteVersión castellana del poema tagalo con un ensayo crítico
","
Balagtas, Francisco, 1788-1862","Apr 3, 2005"
"
Escuela de Humorismo: Novelas.—Cuentos.
","
Díaz-Caneja, Guillermo, 1876-1933","Nov 30, 2013"
"
La Divina Comedia
","
Dante Alighieri, 1265-1321","Jun 10, 2018"
"
Verdadera historia de los sucesos de la conquista de la Nueva-España (2 de 3)
","
Díaz del Castillo, Bernal, 1496-1584","Mar 28, 2021"
"
Mitos, supersticiones y supervivencias populares de Bolivia
","
Paredes, M. Rigoberto (Manuel Rigoberto), 1870-1950","Dec 8, 2018"
"
Verdadera historia de los sucesos de la conquista de la Nueva-España (3 de 3)
","
Díaz del Castillo, Bernal, 1496-1584","Mar 28, 2021"
"
Juan José: Drama en tres actos y en prosa
","
Dicenta, Joaquín, 1862-1917","May 29, 2019"
"
Los Ladrones de Londres
","
Dickens, Charles, 1812-1870","May 23, 2020"
"
Verdadera historia de los sucesos de la conquista de la Nueva-España (1 de 3)
","
Díaz del Castillo, Bernal, 1496-1584","Mar 28, 2021"
"
Una historia de dos ciudades
","
Dickens, Charles, 1812-1870","Apr 22, 2020"
"
La voz de la conseja, t.1Selección de las mejores novelas breves y cuentos de los más esclarecidos literatos
","
Baroja, Pío, 1872-1956","Sep 22, 2012"
"
Memoria histórica, geográfica, política y éconómica sobre la provincia de Misiones de indios guaranís
","
Doblas, Gonzalo de, 1744-1809","Nov 25, 2007"
"
El paraíso perdido
","
Milton, John, 1608-1674","Jan 3, 2022"
"
El crimen y el castigo
","
Dostoyevsky, Fyodor, 1821-1881","Apr 16, 2020"
"
Liette
","
Dourliac, Arthur","Sep 3, 2009"
"
La guardia blancanovela histórica escrita en inglés
","
Doyle, Arthur Conan, 1859-1930","Jun 17, 2011"
"
Silas Marner
","
Eliot, George, 1819-1880","Mar 13, 2008"
"
Agua de Nieve (Novela)
","
Espina, Concha, 1869-1955","Nov 17, 2014"
"
Tratado metódico y práctico de Materia Médica y de Terapéutica, tomo primero
","
Espanet, Alexis, 1811-1886","Sep 25, 2010"
"
Amaury
","
Dumas, Alexandre, 1802-1870","Apr 4, 2008"
"
Tratado metódico y práctico de Materia Médica y de Terapéutica, tomo segundo
","
Espanet, Alexis, 1811-1886","Aug 2, 2009"
"
La invasión o El loco Yégof
","
Erckmann-Chatrian","Mar 7, 2010"
"
Dulce Nombre (Novela)
","
Espina, Concha, 1869-1955","Dec 27, 2013"
"
Despertar Para Morir (Novela)
","
Espina, Concha, 1869-1955","May 14, 2015"
"
La Esfinge Maragata: Novela
","
Espina, Concha, 1869-1955","Apr 10, 2016"
"
La voz de la conseja, t.2Selección de las mejores novelas breves y cuentos de los más esclarecidos literatos
","
Álvarez Quintero, Joaquín, 1873-1944","Oct 18, 2012"
"
Argentina, Legend and History
","
Blasco Ibáñez, Vicente, 1867-1928","Nov 5, 2013"
"
El Jayón: Drama en tres actos
","
Espina, Concha, 1869-1955","Apr 1, 2013"
"
La Niña de Luzmela
","
Espina, Concha, 1869-1955","Mar 1, 2004"
"
Argentina, Legend and History
","
Blasco Ibáñez, Vicente, 1867-1928","Nov 5, 2013"
"
El proletario en España y el Negro en Cuba
","
Espinosa, Ramón J.","Jun 6, 2012"
"
Ruecas de Marfil (Novelas)
","
Espina, Concha, 1869-1955","Jan 26, 2015"
"
Vida del escudero Marcos de Obregón
","
Espinel, Vicente, 1550?-1624","Aug 21, 2019"
"
El Estudiante de Salamanca and Other Selections
","
Espronceda, José de, 1808-1842","May 7, 2005"
"
El Estudiante de Salamanca and Other Selections
","
Espronceda, José de, 1808-1842","May 7, 2005"
"
Discursos sobre el arte del dançadoy sus exelencias y primer origen, reprobando las acciones deshonestas
","
Esquivel Navarro, Juan de, active 17th century","Nov 6, 2016"
"
Descripción de la Patagonia y de las Partes Adyacentes de la América Meridional
","
Falkner, Thomas, 1707-1784","Apr 8, 2009"
"
Novelas y cuentos
","
Estébanez Calderón, Serafín, 1799-1867","Apr 15, 2008"
"
Deberes de buena sociedad
","
Fabra, Camilo, 1833-1902","Oct 17, 2019"
"
Los Puritanos, y otros cuentos
","
Palacio Valdés, Armando, 1853-1938","Sep 21, 2009"
"
Catalogo de los Objetos Etnologicos y Arqueologicos Exhibidos por la Expedición Hemenway
","
Bandelier, Adolph Francis Alphonse, 1840-1914","Feb 11, 2012"
"
La voz de la conseja, t.2Selección de las mejores novelas breves y cuentos de los más esclarecidos literatos
","
Álvarez Quintero, Joaquín, 1873-1944","Oct 18, 2012"
"
El Quijote apócrifo
","
Fernández de Avellaneda, Alonso","Dec 9, 2019"
"
Comedias escogidas
","
Fernández de Moratín, Leandro, 1760-1828","Dec 15, 2019"
"
Los Principios Matemático-Históricos y la Evolución de la Libertad
","
Fernández Bolívar, Víctor José, 1923-","Oct 4, 2009"
"
Hamlet: Drama en cinco actos
","
Shakespeare, William, 1564-1616","Jan 28, 2018"
"
El sí de las niñas
","
Fernández de Moratín, Leandro, 1760-1828","Sep 21, 2015"
"
Estudios históricos del reinado de Felipe II
","
Fernández Duro, Cesáreo, 1830-1908","Jun 9, 2009"
"
La nao Santa María: memória de la Comisión arqueológica ejecutiva, 1892
","
Spain. Comisión arqueológica ejecutiva","Jan 7, 2008"
"
La alhambra; leyendas árabes
","
Fernández y González, Manuel, 1821-1888","Aug 10, 2015"
"
Volvoreta
","
Fernández-Flórez, Wenceslao, 1885-1964","Feb 11, 2019"
"
Antología portorriqueña: Prosa y verso
","
Fernández Juncos, Manuel, 1846-1928","Oct 23, 2014"
"
Relacion historial de las misiones de indios chiquitos que en el Paraguay tienen los padres de la Compañía de Jesús
","
Fernández, Juan Patricio, 1661-1733","Jun 7, 2009"
"
Amparo (Memorias de un loco)
","
Fernández y González, Manuel, 1821-1888","Nov 19, 2008"
"
La voz de la conseja, t.2Selección de las mejores novelas breves y cuentos de los más esclarecidos literatos
","
Álvarez Quintero, Joaquín, 1873-1944","Oct 18, 2012"
"
El cocinero de su majestad: Memorias del tiempo de Felipe III
","
Fernández y González, Manuel, 1821-1888","Jul 27, 2010"
"
Los hermanos Plantagenet
","
Fernández y González, Manuel, 1821-1888","Mar 12, 2012"
"
Historia de los siete murciélagos, leyenda árabe
","
Fernández y González, Manuel, 1821-1888","Feb 28, 2021"
"
El infierno del amor: leyenda fantastica
","
Fernández y González, Manuel, 1821-1888","May 27, 2009"
"
El manco de Lepantoepisodio de la vida del príncipe de los ingenios, Miguel de Cervantes-Saavedra
","
Fernández y González, Manuel, 1821-1888","Jan 26, 2009"
"
La vieja verde: Estudios al natural
","
Fernández y González, Manuel, 1821-1888","Dec 7, 2014"
"
Los monfíes de las Alpujarras: novela original
","
Fernández y González, Manuel, 1821-1888","Jan 4, 2014"
"
Historia de una parisiense
","
Feuillet, Octave, 1821-1890","Oct 30, 2008"
"
Socialismo y ciencia positiva (Darwin-Spencer-Marx)
","
Ferri, Enrico, 1856-1929","Mar 4, 2017"
"
Honor de artista
","
Feuillet, Octave, 1821-1890","Mar 11, 2008"
"
La Novela de un Joven Pobre
","
Feuillet, Octave, 1821-1890","Oct 7, 2007"
"
Salambó
","
Flaubert, Gustave, 1821-1880","Sep 13, 2021"
"
Cosas de España; tomo 1(El país de lo imprevisto)
","
Ford, Richard, 1796-1858","Sep 1, 2018"
"
La Odisea
","
Homer, 750? BCE-650? BCE","Nov 2, 2018"
"
La Ilíada
","
Homer, 750? BCE-650? BCE","Aug 7, 2018"
"
Cosas de España; tomo 2(El país de lo imprevisto)
","
Ford, Richard, 1796-1858","Feb 19, 2019"
"
Catalogo de los Objetos Etnologicos y Arqueologicos Exhibidos por la Expedición Hemenway
","
Bandelier, Adolph Francis Alphonse, 1840-1914","Feb 11, 2012"
"
Coplas por la muerte de su padre
","
Manrique, Jorge, 1440?-1479","Jun 30, 2015"
"
México tal cual es
","
Fornaro, Carlo de, 1871-1949","Jan 17, 2019"
"
La letra escarlatanovela escrita en inglés
","
Hawthorne, Nathaniel, 1804-1864","Aug 6, 2011"
"
La Tosca: Drama trágico en cuatro actos divididos en cinco cuadros
","
Sardou, Victorien, 1831-1908","Feb 7, 2022"
"
Fiebre de amor (Dominique)
","
Fromentin, Eugène, 1820-1876","Sep 2, 2008"
"
Comedia llamada Selvagia, Comedia Serafina
","
Villegas, Alonso de, 1534-","Mar 15, 2016"
"
La fee triunfante en quatro autosCelebrados en Mallorca por el Santo Oficio de la Inquisición en que han salido ochenta y ocho reos, y de treinta y siete relajados sólo hubo tres pertinaces.
","
Garau, Francisco, 1640-1701","Jul 22, 2010"
"
Comedias inéditas
","
Vega, Lope de, 1562-1635","Apr 24, 2018"
"
Nacha Regules: Novela
","
Gálvez, Manuel, 1882-1962","Nov 20, 2019"
"
Comentario del coronel Francisco Verdugo, de la guerra de Frisia,en xiv años que fue gobernador y capitan general de aquel estado y ejercito por el rey don Felipe II, nuestro señor
","
Verdugo, Francisco, 1537-1595","Nov 22, 2015"
"
Libro intitulado El cortesano. Libro de motes de damas y caballeros
","
Milán, Luis, 1507?-1559","Aug 18, 2016"
"
Tragicomedia de Lisandro y Roseliallamada Elicia, y por otro nombre cuarta obra y tercera Celestina.
","
Muñón, Sancho de, active 1542","Feb 5, 2016"
"
Un año en quince minutos: pieza en un acto
","
García González, Manuel, 1828-1873","May 10, 2016"
"
Diario de un viage a Salinas Grandes, en los campos del sud de Buenos Aires
","
García, Pedro Andrés, 1758-1833","Mar 21, 2014"
"
Diario de la expedicion de 1822 a los campos del sud de Buenos AiresDesde Moron hasta la Sierra de la Ventana
","
García, Pedro Andrés, 1758-1833","Jan 6, 2013"
"
Heath's Modern Language Series: El trovador
","
García Gutiérrez, Antonio, 1813-1884","Aug 12, 2009"
"
Nuevo plan de fronteras de la provincia de Buenos Aires, proyectado en 1816
","
García, Pedro Andrés, 1758-1833","Jan 9, 2009"
"
El anacronópete; Viaje a China; Metempsicosis
","
Gaspar, Enrique, 1842-1902","Jun 13, 2020"
"
Páginas sevillanasSucesos Históricos, Personajes Célebres, Monumentos Notables, Tradiciones Populares, Cuentos Viejos, Leyendas y Curiosidades.
","
Chaves Rey, Manuel, 1870-1914","Jun 23, 2012"
"
La voz de la conseja, t.2Selección de las mejores novelas breves y cuentos de los más esclarecidos literatos
","
Álvarez Quintero, Joaquín, 1873-1944","Oct 18, 2012"
"
Curiosidades antiguas sevillanas(serie segunda)
","
Gestoso y Pérez, José, 1852-1917","Jun 3, 2011"
"
La Caravana PasaObras Completas Vol. I
","
Darío, Rubén, 1867-1916","Nov 29, 2018"
"
Vida de Cervantes
","
Mayans y Siscar, Gregorio, 1699-1781","Nov 10, 2018"
"
Tirso de Molina
","
Molina, Tirso de, 1571?-1648","Oct 30, 2018"
"
Novelas Cortas
","
Alarcón, Pedro Antonio de, 1833-1891","Apr 4, 2005"
"
Novelas Cortas
","
Alarcón, Pedro Antonio de, 1833-1891","Apr 4, 2005"
"
Diccionario Bagobo-Español
","
Gisbert, Mateo","Nov 25, 2008"
"
El señor de Bembibre
","
Gil y Carrasco, Enrique, 1815-1846","Jul 10, 2015"
"
20 poemas para ser leídos en el tranvía
","
Girondo, Oliverio, 1891-1967","Oct 15, 2018"
"
Diccionario Bagobo-Español
","
Gisbert, Mateo","Nov 25, 2008"
"
La quinta de Palmyra(Novela grande)
","
Gómez de la Serna, Ramón, 1888-1963","Sep 18, 2020"
"
Los Lusíadas: Poema épico en diez cantos
","
Camões, Luís de, 1524?-1580","Mar 10, 2021"
"
El libro de las mil noches y una noche; t. 1
","
Anonymous","Nov 5, 2014"
"
Comedias: El remedio en la desdicha; El mejor alcalde, el rey
","
Vega, Lope de, 1562-1635","Mar 25, 2009"
"
El anacronópete; Viaje a China; Metempsicosis
","
Gaspar, Enrique, 1842-1902","Jun 13, 2020"
"
Dramas (1 de 2): Hernani; El Rey se divierte; Los Burgraves
","
Hugo, Victor, 1802-1885","Jun 1, 2021"
"
Dramas (2 de 2): Lucrecia Borgia; María Tudor; La Esmeralda; Ruy Blas
","
Hugo, Victor, 1802-1885","Jun 10, 2021"
"
La Tosca: Drama trágico en cuatro actos divididos en cinco cuadros
","
Sardou, Victorien, 1831-1908","Feb 7, 2022"
"
Adhesiones á la Venta de los Ferro-carriles de la Provincia
","
Gonnet, Manuel B., 1855-1927","Mar 3, 2022"
"
Contigo Pan y Cebolla
","
Gorostiza, Manuel Eduardo de, 1789-1851","May 1, 2004"
"
Los Desastres de la guerra:colección de ochenta láminas inventadas y grabadas al agua fuerte
","
Goya, Francisco, 1746-1828","Aug 18, 2019"
"
Oasis en la vida
","
Gorriti, Juana Manuela, 1818-1892","Jul 5, 2020"
"
Contigo Pan y Cebolla
","
Gorostiza, Manuel Eduardo de, 1789-1851","May 1, 2004"
"
Argentina, Legend and History
","
Blasco Ibáñez, Vicente, 1867-1928","Nov 5, 2013"
"
Argentina, Legend and History
","
Blasco Ibáñez, Vicente, 1867-1928","Nov 5, 2013"
"
Argentina, Legend and History
","
Blasco Ibáñez, Vicente, 1867-1928","Nov 5, 2013"
"
Argentina, Legend and History
","
Blasco Ibáñez, Vicente, 1867-1928","Nov 5, 2013"
"
Historia de la guerra del Peloponeso (1 de 2)
","
Thucydides, 455? BCE-395 BCE","Dec 2, 2021"
"
Historia de la guerra del Peloponeso (2 de 2)
","
Thucydides, 455? BCE-395 BCE","Dec 2, 2021"
"
El criticón (tomo 2 de 2)
","
Gracián y Morales, Baltasar, 1601-1658","Oct 7, 2020"
"
El criticón (tomo 1 de 2)
","
Gracián y Morales, Baltasar, 1601-1658","Jul 18, 2020"
"
Del Plata al Niagara
","
Groussac, Paul, 1848-1929","Jul 6, 2015"
"
Cosmografía
","
Guillemin, Amédée, 1826-1893","Mar 29, 2007"
"
Historia del Paraguay, Río de La Plata y Tucumán
","
Guevara, José, 1719-1806","Jun 22, 2020"
"
Historia de la Conquista de la Habana (1762)
","
Guiteras, Pedro José, 1814-1890","Mar 16, 2014"
"
Apuntes biograficos de escritores, oradores y hombres de estado de la Republica Argentina
","
Gutiérrez, Juan María, 1809-1878","Jan 9, 2017"
"
Sir Francis Drake: His Voyage, 1595Together with the Spanish account of Drake's attack on Puerto Rico
","
Maynarde, Thomas, active 1595","Aug 27, 2020"
"
Sir Francis Drake: His Voyage, 1595Together with the Spanish account of Drake's attack on Puerto Rico
","
Maynarde, Thomas, active 1595","Aug 27, 2020"
"
El Abate Constantin
","
Halévy, Ludovic, 1834-1908","Aug 15, 2009"
"
An Elementary Spanish Reader
","
Harrison, Earl Stanley, 1871-","Jul 13, 2007"
"
Cuentos Clásicos del Norte, Segunda Serie
","
Hale, Edward Everett, 1822-1909","Aug 3, 2014"
"
Bocetos californianos
","
Harte, Bret, 1836-1902","Jun 1, 2008"
"
Argentina, Legend and History
","
Blasco Ibáñez, Vicente, 1867-1928","Nov 5, 2013"
"
Los Amantes de TeruelDrama en cuatro actos en verso y prosa
","
Hartzenbusch, Juan Eugenio, 1806-1880","Feb 1, 2004"
"
Cuando la tierra era niña
","
Hawthorne, Nathaniel, 1804-1864","Jul 28, 2017"
"
Argentina, Legend and History
","
Blasco Ibáñez, Vicente, 1867-1928","Nov 5, 2013"
"
Cuentos Clásicos del Norte, Segunda Serie
","
Hale, Edward Everett, 1822-1909","Aug 3, 2014"
"
La letra escarlatanovela escrita en inglés
","
Hawthorne, Nathaniel, 1804-1864","Aug 6, 2011"
"
Diario histórico de la rebelion y guerra de los pueblos Guaranis situados en la costa oriental del Rio Uruguay, del año de 1754
","
Henis, Tadéas Xavier, 1711-","Aug 18, 2004"
"
Catálogo Instructivo de las Colecciones Mineralógicas
","
Bodenbender, Guillermo, 1857-1941","Dec 22, 2006"
"
El Gaucho Martín Fierro
","
Hernández, José, 1834-1886","Jan 23, 2005"
"
Tratado metódico y práctico de Materia Médica y de Terapéutica, tomo primero
","
Espanet, Alexis, 1811-1886","Sep 25, 2010"
"
La Vuelta de Martín Fierro
","
Hernández, José, 1834-1886","Feb 15, 2005"
"
Fortuna
","
Pérez Escrich, Enrique, 1829-1897","Jul 27, 2005"
"
Tratado metódico y práctico de Materia Médica y de Terapéutica, tomo segundo
","
Espanet, Alexis, 1811-1886","Aug 2, 2009"
"
Guerras civiles de Granada: Tomo I
","
Hita, Ginés Pérez de","Mar 15, 2022"
"
Historia General del Derecho Español, Tomo I
","
Hinojosa, Eduardo de","Jul 10, 2014"
"
Compendio de la historia general de América. Tomo I
","
Navarro y Lamarca, Carlos","Dec 25, 2017"
"
La Ilíada
","
Homer, 750? BCE-650? BCE","Aug 7, 2018"
"
La Odisea
","
Homer, 750? BCE-650? BCE","Nov 2, 2018"
"
El prisionero de Zenda
","
Hope, Anthony, 1863-1933","Mar 11, 2008"
"
El pecado y la noche
","
Hoyos y Vinent, Antonio de, 1885-1940","Apr 23, 2009"
"
Heath's Modern Language Series: José
","
Palacio Valdés, Armando, 1853-1938","Jan 7, 2009"
"
Cuestiones políticas y económicas
","
Huergo, Palemón","Jul 4, 2016"
"
Cristóbal Colón y el descubrimiento de América, Tomo 1Historia de la geografía del nuevo continente y de los progresos de la astronomía náutica en los siglos XV y XVI
","
Humboldt, Alexander von, 1769-1859","Apr 14, 2020"
"
Guerra de Granada: Hecha por el rey D. Felipe II, contra los Moriscos de aquel reino, sus rebeldes; Seguida de la vida del Lazarillo de Tormes, sus fortunas y adversidades
","
Hurtado de Mendoza, Diego, 1503-1575","Dec 26, 2019"
"
Dramas (1 de 2): Hernani; El Rey se divierte; Los Burgraves
","
Hugo, Victor, 1802-1885","Jun 1, 2021"
"
Hacia una Moral sin Dogmas: Lecciones sobre Emerson y el Eticismo
","
Ingenieros, José, 1877-1925","Jan 4, 2018"
"
La voz de la conseja, t.2Selección de las mejores novelas breves y cuentos de los más esclarecidos literatos
","
Álvarez Quintero, Joaquín, 1873-1944","Oct 18, 2012"
"
Cristóbal Colón y el descubrimiento de América, Tomo 2Historia de la geografía del nuevo continente y de los progresos de la astronomía náutica en los siglos XV y XVI
","
Humboldt, Alexander von, 1769-1859","Apr 14, 2020"
"
El Hombre Mediocre: Ensayo de psicologia y moral
","
Ingenieros, José, 1877-1925","Mar 31, 2021"
"
Dramas (2 de 2): Lucrecia Borgia; María Tudor; La Esmeralda; Ruy Blas
","
Hugo, Victor, 1802-1885","Jun 10, 2021"
"
Revista de Filosofía, Año V - Nº 3 - May/1919Cultura—Ciencias—Educación
","
Various","Dec 12, 2016"
"
La simulación en la lucha por la vida
","
Ingenieros, José, 1877-1925","Dec 31, 2020"
"
Fábulas literarias
","
Iriarte, Tomás de, 1750-1791","Jul 23, 2009"
"
La guardia blancanovela histórica escrita en inglés
","
Doyle, Arthur Conan, 1859-1930","Jun 17, 2011"
"
Crónica de la conquista de Granada (1 de 2)
","
Irving, Washington, 1783-1859","Jun 22, 2015"
"
Crónica de la conquista de Granada (2 de 2)
","
Irving, Washington, 1783-1859","Jun 22, 2015"
"
Cuentos Clásicos del Norte, Segunda Serie
","
Hale, Edward Everett, 1822-1909","Aug 3, 2014"
"
Cuentos de la Alhambra
","
Irving, Washington, 1783-1859","Jun 7, 2016"
"
Los Ladrones de Londres
","
Dickens, Charles, 1812-1870","May 23, 2020"
"
Historia de Gil Blas de Santillana: Novela (Vol 3 de 3)
","
Le Sage, Alain René, 1668-1747","Oct 23, 2017"
"
Platero y yo
","
Jiménez, Juan Ramón, 1881-1958","Mar 20, 2012"
"
Historia del famoso predicador Fray Gerundio de Campazas, alias Zotes (2 de 2)
","
Isla, José Francisco de, 1703-1781","Nov 10, 2020"
"
Platero y yo
","
Jiménez, Juan Ramón, 1881-1958","Feb 1, 2006"
"
Historia de Gil Blas de Santillana: Novela (Vol 2 de 3)
","
Le Sage, Alain René, 1668-1747","Jul 30, 2016"
